instance,lb,bks,makespan,status,source
ta01,1231,1231,1231.0,optimal,conf_bj_j1_b10_60s
ta02,1244,1244,1244.0,optimal,conf_bj_j3_b5_60s
ta03,1218,1218,1218.0,optimal,conf_bj_j3_b5_60s
ta04,1175,1175,1175.0,optimal,baseline_quick
ta05,1224,1224,1231.0,gap 0.57%,conf_bj_j1_b10_60s
ta06,1238,1238,1240.0,gap 0.16%,conf_jsp_abc_n2_tenure_60s
ta07,1227,1227,1228.0,gap 0.08%,baseline_quick
ta08,1217,1217,1217.0,optimal,conf_bj_j1_b10_60s
ta09,1274,1274,1291.0,gap 1.33%,baseline_quick
ta10,1241,1241,1241.0,optimal,conf_bj_j1_b10_60s
ta18,1377,1396,1423.0,gap 3.34%,open_baseline_300s
ta22,1561,1600,1619.0,gap 3.72%,open_backjump_300s
ta23,1518,1557,1580.0,gap 4.08%,open_backjump_300s
ta25,1558,1595,1622.0,gap 4.11%,open_backjump_300s
ta26,1591,1643,1681.0,gap 5.66%,open_baseline_300s
ta27,1652,1680,1711.0,gap 3.57%,open_backjump_300s
ta29,1573,1625,1629.0,gap 3.56%,open_baseline_300s
ta30,1519,1584,1608.0,gap 5.86%,open_backjump_300s
ta32,1774,1784,1835.0,gap 3.44%,open_baseline_300s
ta33,1788,1791,1849.0,gap 3.41%,open_backjump_300s
ta34,1828,1829,1875.0,gap 2.57%,open_baseline_300s
ta40,1651,1669,1703.0,gap 3.15%,open_baseline_300s
ta41,1906,2005,2086.0,gap 9.44%,open_backjump_300s
ta42,1884,1937,2003.0,gap 6.32%,open_backjump_300s
ta43,1809,1846,1913.0,gap 5.75%,open_baseline_300s
ta44,1948,1979,2049.0,gap 5.18%,open_backjump_300s
ta45,1997,2000,2042.0,gap 2.25%,open_baseline_300s
ta46,1957,2004,2076.0,gap 6.08%,open_backjump_300s
ta47,1807,1889,1954.0,gap 8.14%,open_backjump_300s
ta48,1912,1937,2021.0,gap 5.70%,open_backjump_300s
ta49,1931,1961,2003.0,gap 3.73%,open_backjump_300s
ta50,1833,1923,2000.0,gap 9.11%,open_backjump_300s
